longitude,latitude
-44.985278,-21.722222
-46.561389,-21.788056
-46.365556,-20.245556
-46.561389,-21.788056
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.65,-19
-43.55,-19.23
-43.744722,-19.513611
-43.744722,-19.513611
-43.714167,-19.169167
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.75,-19.5
-43.744722,-19.513611
-43.744722,-19.513611
-43.65,-19
-40.600278,-19.936389
-40.600278,-19.936389
-40.600278,-19.936389
-40.600278,-19.936389
-48.636944,-24.594167
-48.633611,-24.590556
-48.636944,-24.594167
-44.65,-22.82
-45.409722,-23.620278
-45.83,-23.63
-40.6,-19.9167
-46.529722,-23.66
-46.3167,-23.7833
-54.751667,-20.538056
-54.751667,-20.538056
-53.85526,-19.025
-54.751667,-20.538056
-54.753056,-20.538056
-54.753056,-20.538056
-54.751667,-20.538056
-54.751667,-20.538056
-54.751667,-20.538056
-54.753056,-20.538056
-54.75141,-20.538759
-53.856944,-19.02
-53.856944,-19.02
-53.856944,-19.02
-53.856944,-19.02
-45.195556,-23.138333
-45.31,-23.22
-46.7781,-10.5392
-48.119722,-22.280278
-43.714167,-19.168889
-44.569722,-22.64
-46.561389,-21.788056
-46.561389,-21.788056
-44.569722,-22.64
-44.569722,-22.64
-47.06,-22.9
-44.569722,-22.64
-44.569722,-22.64
-55.749444,-15.460833
-46.561389,-21.788056
-46.388056,-20.863611
-46.388056,-20.863611
-46.615278,-21.126944
-46.365556,-20.245556
-43.65,-19
-46.365556,-20.245556
-43.350278,-21.764444
-46.388056,-20.863611
-47.06,-22.9
-48.439722,-22.88
-47.06,-22.9
-43.714167,-19.169167
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
-43.744722,-19.513611
